,Shareholding in CCASS,Shares Percentage,Stock Name,Stock code
228,"                                403,076,000                            ",                                7.12%                            ,                                FUTURE LAND DEVELOPMENT HOLDINGS LIMITED                            ,                                 1030                            
229,"                                2,472,000                            ",                                0.01%                            ,                                KINGSTON FINANCIAL GROUP LIMITED                            ,                                 1031                            
230,"                                333,848,000                            ",                                15.89%                            ,                                SINOPEC OILFIELD SERVICE CORPORATION                            ,                                 1033                            
231,"                                7,194,000                            ",                                0.26%                            ,                                CK INFRASTRUCTURE HOLDINGS LIMITED                            ,                                 1038                            
232,"                                5,710,675                            ",                                0.46%                            ,                                HENGAN INTERNATIONAL GROUP COMPANY LIMITED                            ,                                 1044                            
233,"                                4,434,000                            ",                                0.26%                            ,                                YUEXIU TRANSPORT INFRASTRUCTURE LIMITED                            ,                                 1052                            
234,"                                79,452,000                            ",                                14.76%                            ,                                CHONGQING IRON & STEEL COMPANY LIMITED                            ,                                 1053                            
235,"                                512,054,097                            ",                                16.69%                            ,                                CHINA SOUTHERN AIRLINES COMPANY LIMITED                            ,                                 1055                            
236,"                                9,324,000                            ",                                4.30%                            ,                                ZHEJIANG SHIBAO COMPANY LIMITED                            ,                                 1057                            
237,"                                1,580,384,620                            ",                                6.21%                            ,                                ALIBABA PICTURES GROUP LIMITED                            ,                                 1060                            
238,"                                50,396,200                            ",                                14.81%                            ,                                TIANJIN CAPITAL ENVIRONMENTAL PROTECTION GROUP COMPANY LIMITED                            ,                                 1065                            
239,"                                24,115,283                            ",                                1.27%                            ,                                SHANDONG WEIGAO GROUP MEDICAL POLYMER COMPANY LIMITED                            ,                                 1066                            
240,"                                25,248,000                            ",                                1.38%                            ,                                CHINA YURUN FOOD GROUP LIMITED                            ,                                 1068                            
241,"                                6,317,000                            ",                                0.36%                            ,                                TCL MULTIMEDIA TECHNOLOGY HOLDINGS LIMITED                            ,                                 1070                            
242,"                                415,772,000                            ",                                24.20%                            ,                                HUADIAN POWER INTERNATIONAL CORPORATION LIMITED                            ,                                 1071                            
243,"                                72,568,010                            ",                                21.33%                            ,                                DONGFANG ELECTRIC CORPORATION LIMITED                            ,                                 1072                            
244,"                                758,760,000                            ",                                0.53%                            ,                                IMPERIAL PACIFIC INTERNATIONAL HOLDINGS LIMITED                            ,                                 1076                            
245,"                                8,465,085                            ",                                0.29%                            ,                                TOWNGAS CHINA COMPANY LIMITED                            ,                                 1083                            
246,"                                308,785,073                            ",                                9.08%                            ,                                CHINA SHENHUA ENERGY COMPANY LIMITED                            ,                                 1088                            
247,"                                347,036,290                            ",                                5.54%                            ,                                CSPC PHARMACEUTICAL GROUP LIMITED                            ,                                 1093                            
248,"                                1,225,550                            ",                                0.01%                            ,                                I-CABLE COMMUNICATIONS LIMITED                            ,                                 1097                            
249,"                                8,151,000                            ",                                1.09%                            ,                                ROAD KING INFRASTRUCTURE LIMITED                            ,                                 1098                            
250,"                                45,642,820                            ",                                3.82%                            ,                                SINOPHARM GROUP CO. LTD.                            ,                                 1099                            
251,"                                54,152,000                            ",                                21.65%                            ,                                LUOYANG GLASS COMPANY LIMITED                            ,                                 1108                            
252,"                                126,790,889                            ",                                1.82%                            ,                                CHINA RESOURCES LAND LIMITED                            ,                                 1109                            
253,"                                1,372,500                            ",                                0.21%                            ,                                CHONG HING BANK LIMITED                            ,                                 1111                            
254,"                                61,820,904                            ",                                9.73%                            ,                                HELATH AND HAPPINESS (H&H;) INTERNATIONAL HOLDINGS LIMITED                            ,                                 1112                            
255,"                                7,471,398                            ",                                0.20%                            ,                                CK ASSET HOLDINGS LIMITED                            ,                                 1113                            
256,"                                126,831,841                            ",                                2.50%                            ,                                BRILLIANCE CHINA AUTOMOTIVE HOLDINGS LIMITED                            ,                                 1114                            
257,"                                89,449,000                            ",                                3.48%                            ,                                TIBET WATER RESOURCES LTD.                            ,                                 1115                            
258,"                                130,100,000                            ",                                2.11%                            ,                                CHINA MODERN DAIRY HOLDINGS LTD.                            ,                                 1117                            
259,"                                66,651,200                            ",                                1.27%                            ,"                                WYNN MACAU, LIMITED                            ",                                 1128                            
260,"                                1,361,000                            ",                                0.02%                            ,                                TCC INTERNATIONAL HOLDINGS LIMITED                            ,                                 1136                            
261,"                                102,566,000                            ",                                7.90%                            ,"                                COSCO SHIPPING ENERGY TRANSPORTATION CO., LTD.                            ",                                 1138                            
262,"                                385,550,000                            ",                                0.84%                            ,                                CMBC CAPITAL HOLDINGS LIMITED                            ,                                 1141                            
263,"                                73,999,722                            ",                                5.33%                            ,"                                ZOOMLION HEAVY INDUSTRY SCIENCE AND TECHNOLOGY CO., LTD.                            ",                                 1157                            
264,"                                419,462,000                            ",                                9.72%                            ,                                SHUNFENG INTERNATIONAL CLEAN ENERGY LIMITED                            ,                                 1165                            
265,"                                9,228,558                            ",                                0.32%                            ,"                                HAIER ELECTRONICS GROUP CO., LTD.                            ",                                 1169                            
266,"                                153,733,500                            ",                                7.86%                            ,                                YANZHOU COAL MINING COMPANY LIMITED                            ,                                 1171                            
267,"                                185,602,956                            ",                                2.49%                            ,                                SINO BIOPHARMACEUTICAL LIMITED                            ,                                 1177                            
268,"                                74,326,777                            ",                                3.57%                            ,                                CHINA RAILWAY CONSTRUCTION CORPORATION LIMITED                            ,                                 1186                            
269,"                                187,948,000                            ",                                0.92%                            ,                                HYBRID KINETIC GROUP LIMITED                            ,                                 1188                            
270,"                                4,973,000                            ",                                0.21%                            ,                                CHINA RESOURCES GAS GROUP LIMITED                            ,                                 1193                            
271,"                                20,912,000                            ",                                1.81%                            ,                                REALORD GROUP HOLDINGS LIMITED                            ,                                 1196                            
272,"                                11,722,978                            ",                                0.37%                            ,                                COSCO SHIPPING PORTS LIMITED                            ,                                 1199                            
273,"                                169,124,100                            ",                                2.14%                            ,                                CITIC RESOURCES HOLDINGS LIMITED                            ,                                 1205                            
274,"                                177,162,000                            ",                                2.22%                            ,                                MMG LIMITED                            ,                                 1208                            
275,"                                18,489,569                            ",                                2.02%                            ,                                BYD COMPANY LIMITED                            ,                                 1211                            
276,"                                246,500                            ",                                0.01%                            ,                                LIFESTYLE INTERNATIONAL HOLDINGS LIMITED                            ,                                 1212                            
277,"                                53,317,000                            ",                                1.11%                            ,                                YASHILI INTERNATIONAL HOLDINGS LTD                            ,                                 1230                            
278,"                                27,815,000                            ",                                2.30%                            ,                                CHINA LILANG LIMITED                            ,                                 1234                            
279,"                                48,048,000                            ",                                2.26%                            ,                                NATIONAL AGRICULTURAL HOLDINGS LIMITED                            ,                                 1236                            
280,"                                32,782,000                            ",                                0.82%                            ,                                POWERLONG REAL ESTATE HOLDINGS LIMITED                            ,                                 1238                            
281,"                                1,298,020,000                            ",                                2.04%                            ,                                BEIJING ENTERPRISES CLEAN ENERGY GROUP LIMITED                            ,                                 1250                            
282,"                                16,916,000                            ",                                0.50%                            ,                                CHINA GREENLAND BROAD GREENSTATE GROUP COMPANY LIMITED                            ,                                 1253                            
283,"                                6,819,000                            ",                                0.33%                            ,                                CHINA EVERBRIGHT GREENTECH LIMITED                            ,                                 1257                            
284,"                                1,829,616,000                            ",                                8.25%                            ,                                CHINA GOLDJOY GROUP LIMITED                            ,                                 1282                            
285,"                                2,136,066,000                            ",                                6.93%                            ,                                AGRICULTURAL BANK OF CHINA LIMITED                            ,                                 1288                            
286,"                                162,914,394                            ",                                5.73%                            ,                                GRAND BAOXIN AUTO GROUP LIMITED                            ,                                 1293                            
287,"                                26,535,140                            ",                                0.21%                            ,                                AIA GROUP LIMITED                            ,                                 1299                            
288,"                                274,688,000                            ",                                6.34%                            ,                                LIFETECH SCIENTIFIC CORPORATION                            ,                                 1302                            
289,"                                15,635,000                            ",                                0.58%                            ,                                SITC INTERNATIONAL HOLDINGS COMPANY LIMITED                            ,                                 1308                            
290,"                                169,000                            ",                                0.01%                            ,                                HKBN LTD.                            ,                                 1310                            
291,"                                33,822,000                            ",                                0.50%                            ,                                CHINA RESOURCES CEMENT HOLDINGS LIMITED                            ,                                 1313                            
292,"                                688,160,000                            ",                                11.46%                            ,                                VISION FAME INTERNATIONAL HOLDING LIMITED                            ,                                 1315                            
293,"                                27,723,000                            ",                                1.10%                            ,                                NEXTEER AUTOMOTIVE GROUP LIMITED                            ,                                 1316                            
294,"                                106,424,000                            ",                                7.71%                            ,                                CHINA MAPLE LEAF EDUCATIONAL SYSTEMS LIMITED                            ,                                 1317                            
295,"                                255,486,000                            ",                                4.68%                            ,                                CHINA ZHONGWANG HOLDINGS LIMITED                            ,                                 1333                            
296,"                                319,538,753                            ",                                30.89%                            ,                                NEW CHINA LIFE INSURANCE COMPANY LTD.                            ,                                 1336                            
297,"                                767,088,000                            ",                                8.78%                            ,"                                PEOPLE'S INSURANCE COMPANY (GROUP) OF CHINA LIMITED, THE                            ",                                 1339                            
298,"                                26,234,000                            ",                                2.53%                            ,                                HUA HONG SEMICONDUCTOR LIMITED                            ,                                 1347                            
299,"                                190,873,600                            ","
","                                MEITU, INC.                            ",                                 1357                            
300,"                                1,431,268,337                            ",                                10.54%                            ,"                                CHINA CINDA ASSET MANAGEMENT CO., LTD.                            ",                                 1359                            
301,"                                27,233,000                            ",                                1.31%                            ,                                361 DEGREES INTERNATIONAL LIMITED                            ,                                 1361                            
302,"                                206,304,000                            ",                                3.25%                            ,                                CT ENVIRONMENTAL GROUP LIMITED                            ,                                 1363                            
303,"                                23,074,000                            ",                                1.03%                            ,                                XTEP INTERNATIONAL HOLDINGS LIMITED                            ,                                 1368                            
304,"                                43,790,000                            ",                                3.49%                            ,"                                CENTRAL CHINA SECURITIES CO., LTD.                            ",                                 1375                            
305,"                                625,089,563                            ",                                8.60%                            ,                                CHINA HONGQIAO GROUP LIMITED                            ,                                 1378                            
306,"                                19,181,000                            ",                                0.78%                            ,                                CANVEST ENVIRONMENTAL PROTECTION GROUP COMPANY LIMITED                            ,                                 1381                            
307,"                                3,773,000                            ",                                0.25%                            ,                                PACIFIC TEXTILES HOLDINGS LIMITED                            ,                                 1382                            
308,"                                2,443,053,501                            ",                                5.55%                            ,                                RENHE COMMERCIAL HOLDINGS COMPANY LIMITED                            ,                                 1387                            
309,"                                9,578,858,429                            ",                                11.03%                            ,                                INDUSTRIAL AND COMMERCIAL BANK OF CHINA LIMITED                            ,                                 1398                            
310,"                                164,210,000                            ",                                2.57%                            ,                                CHINA SHENGMU ORGANIC MILK LIMITED                            ,                                 1432                            
311,"                                58,602,000                            ",                                2.72%                            ,                                FU SHOU YUAN INTERNATIONAL GROUP LIMITED                            ,                                 1448                            
312,"                                147,768,000                            ",                                6.19%                            ,                                ZHOU HEI YA INTERNATIONAL HOLDINGS COMPANY LIMITED                            ,                                 1458                            
313,"                                14,284,000                            ",                                1.30%                            ,                                Q TECHNOLOGY (GROUP) COMPANY LIMITED                            ,                                 1478                            
314,"                                296,136,000                            ",                                4.43%                            ,                                CHINA REINSURANCE (GROUP) CORPORATION                            ,                                 1508                            
315,"                                13,579,880                            ",                                7.17%                            ,                                LIVZON PHARMACEUTICAL GROUP INC.                            ,                                 1513                            
316,"                                28,710,000                            ",                                2.21%                            ,                                CHINA RESOURCES PHOENIX HEALTHCARE HOLDINGS COMPANY LIMITED                            ,                                 1515                            
317,"                                69,457,200                            ",                                6.53%                            ,                                RED STAR MACALLINE GROUP CORPORATION LTD.                            ,                                 1528                            
318,"                                145,195,218                            ",                                5.70%                            ,                                3SBIO INC.                            ,                                 1530                            
319,"                                76,456,000                            ",                                4.42%                            ,                                GENSCRIPT BIOTECH CORPORATION                            ,                                 1548                            
320,"                                987,000                            ",                                0.05%                            ,"                                GUANGZHOU RURAL COMMERCIAL BANK CO., LTD                            ",                                 1551                            
321,"                                92,086,000                            ",                                2.29%                            ,                                MINSHENG EDUCATION GROUP COMPANY LIMITED                            ,                                 1569                            
322,"                                78,500                            ",                                0.00%                            ,"                                BANK OF TIANJIN CO., LTD.                            ",                                 1578                            
323,"                                54,500                            ",                                0.01%                            ,                                QINQIN FOODSTUFFS GROUP (CAYMAN) COMPANY LIMITED                            ,                                 1583                            
324,"                                42,030,000                            ",                                1.40%                            ,                                YADEA GROUP HOLDINGS LTD.                            ,                                 1585                            
325,"                                784,000                            ",                                0.02%                            ,"                                CHINA DEVELOPMENT BANK FINANCIAL LEASING CO., LTD.                            ",                                 1606                            
326,"                                2,540,000                            ",                                0.09%                            ,                                VPOWER GROUP INTERNATIONAL HOLDINGS LIMITED                            ,                                 1608                            
327,"                                43,146,000                            ",                                1.10%                            ,                                COFCO MEAT HOLDINGS LIMITED                            ,                                 1610                            
328,"                                321,454,000                            ",                                11.18%                            ,                                METALLURGICAL CORPORATION OF CHINA LTD.                            ,                                 1618                            
329,"                                193,880,000                            ",                                0.78%                            ,                                TIANHE CHEMICALS GROUP LIMITED                            ,                                 1619                            
330,"                                9,178,000                            ",                                0.25%                            ,                                REDCO PROPERTIES GROUP LIMITED                            ,                                 1622                            
331,"                                32,701,000                            ",                                0.78%                            ,                                YUZHOU PROPERTIES COMPANY LIMITED                            ,                                 1628                            
332,"                                51,547,000                            ",                                9.65%                            ,"                                SHANGHAI DAZHONG PUBLIC UTILITIES (GROUP) CO., LTD.                            ",                                 1635                            
333,"                                34,964,000                            ",                                1.41%                            ,                                CHINA METAL RESOURCES UTILIZATION LIMITED                            ,                                 1636                            
334,"                                112,237,000                            ",                                1.85%                            ,                                KAISA GROUP HOLDINGS LTD.                            ,                                 1638                            
335,"                                89,576,000                            ",                                0.44%                            ,"                                POSTAL SAVINGS BANK OF CHINA CO., LTD.                            ",                                 1658                            
336,"                                8,866,000                            ",                                0.55%                            ,                                WISDOM SPORTS GROUP                            ,                                 1661                            
337,"                                49,213,000                            ",                                7.82%                            ,                                TONG REN TANG TECHNOLOGIES CO LTD                            ,                                 1666                            
338,"                                823,130,000                            ",                                10.27%                            ,                                CHINA SOUTH CITY HOLDINGS LIMITED                            ,                                 1668                            
339,"                                248,527,000                            ",                                3.96%                            ,                                MACAU LEGEND DEVELOPMENT LIMITED                            ,                                 1680                            
340,"                                3,252,000                            ",                                0.42%                            ,                                BOER POWER HOLDINGS LIMITED                            ,                                 1685                            
341,"                                102,235,500                            ",                                4.60%                            ,                                CHINA ZHENGTONG AUTO SERVICES HOLDINGS LIMITED                            ,                                 1728                            
342,"                                398,402,120                            ",                                9.11%                            ,                                CRRC CORPORATION LIMITED                            ,                                 1766                            
343,"                                47,678,124                            ",                                2.80%                            ,"                                GF SECURITIES CO., LTD.                            ",                                 1776                            
344,"                                44,940,000                            ",                                0.77%                            ,"                                FANTASIA HOLDINGS GROUP CO., LIMITED                            ",                                 1777                            
345,"                                75,629,000                            ",                                7.59%                            ,"                                COLOUR LIFE SERVICES GROUP CO., LIMITED                            ",                                 1778                            
346,"                                182,094,000                            ",                                2.59%                            ,                                GUOTAI JUNAN INTERNATIONAL HOLDINGS LIMITED                            ,                                 1788                            
347,"                                138,449,509                            ",                                3.12%                            ,                                CHINA COMMUNICATIONS CONSTRUCTION COMPANY LIMITED                            ,                                 1800                            
348,"                                137,836,000                            ",                                3.21%                            ,"                                CGN NEW ENERGY HOLDINGS CO., LTD.                            ",                                 1811                            
349,"                                44,651,500                            ",                                12.67%                            ,                                SHANDONG CHENMING PAPER HOLDINGS LIMITED                            ,                                 1812                            
350,"                                137,537,385                            ",                                4.35%                            ,                                KWG PROPERTY HOLDING LIMITED                            ,                                 1813                            
351,"                                1,208,966,000                            ",                                10.82%                            ,"                                CGN POWER CO., LTD                            ",                                 1816                            
352,"                                19,242,000                            ",                                1.83%                            ,                                ZHAOJIN MINING INDUSTRY COMPANY LIMITED                            ,                                 1818                            
353,"                                21,320,950                            ",                                1.15%                            ,                                DAH CHONG HONG HOLDINGS LIMITED                            ,                                 1828                            
354,"                                770,000                            ",                                0.08%                            ,                                CHINA MACHINERY ENGINEERING CORPORATION                            ,                                 1829                            
355,"                                15,000                            ",                                0.00%                            ,                                STELLA INTERNATIONAL HOLDINGS LIMITED                            ,                                 1836                            
356,"                                15,523,500                            ",                                2.28%                            ,                                CHINA AIRCRAFT LEASING GROUP HOLDINGS LIMITED                            ,                                 1848                            
357,"                                7,612,000                            ",                                0.47%                            ,                                HAITIAN INTERNATIONAL HOLDINGS LIMITED                            ,                                 1882                            
358,"                                30,489,000                            ",                                0.86%                            ,                                CITIC TELECOM INTERNATIONAL HOLDINGS LIMITED                            ,                                 1883                            
359,"                                87,104,000                            ",                                3.26%                            ,                                CHINA HUIYUAN JUICE GROUP LIMITED                            ,                                 1886                            
360,"                                11,223,077                            ",                                0.36%                            ,                                KINGBOARD LAMINATES HOLDINGS LIMITED                            ,                                 1888                            
361,"                                274,306,307                            ",                                6.67%                            ,                                CHINA COAL ENERGY COMPANY LIMITED                            ,                                 1898                            
362,"                                998,223,341                            ",                                24.10%                            ,                                SUNAC CHINA HOLDINGS LIMITED                            ,                                 1918                            
363,"                                267,077,500                            ",                                10.34%                            ,"                                COSCO SHIPPING HOLDINGS CO., LTD.                            ",                                 1919                            
364,"                                34,025,800                            ",                                0.41%                            ,                                SANDS CHINA LTD.                            ,                                 1928                            
365,"                                11,672,000                            ",                                0.11%                            ,                                CHOW TAI FOOK JEWELLERY GROUP LIMITED                            ,                                 1929                            
366,"                                179,273,000                            ",                                8.52%                            ,                                BAIC MOTOR CORPORATION LIMITED                            ,                                 1958                            
367,"                                43,986,000                            ",                                2.78%                            ,"                                BANK OF CHONGQING CO., LTD.                            ",                                 1963                            
368,"                                90,090,000                            ",                                2.35%                            ,                                CHINA SCE PROPERTY HOLDINGS LIMITED                            ,                                 1966                            
369,"                                4,638,600                            ",                                1.29%                            ,"                                IMAX CHINA HOLDING, INC.                            ",                                 1970                            
370,"                                2,068,800                            ",                                0.03%                            ,                                SWIRE PROPERTIES LIMITED                            ,                                 1972                            
371,"                                40,250,372                            ",                                3.15%                            ,                                TIAN GE INTERACTIVE HOLDINGS LIMITED                            ,                                 1980                            
372,"                                597,766,500                            ",                                8.61%                            ,"                                CHINA MINSHENG BANKING CORP., LTD.                            ",                                 1988                            
373,"                                271,829,979                            ",                                7.12%                            ,                                MAN WAH HOLDINGS LIMITED                            ,                                 1999                            
374,"                                135,670,000                            ",                                4.76%                            ,                                SSY GROUP LIMITED                            ,                                 2005                            
375,"                                251,861,812                            ",                                1.18%                            ,                                COUNTRY GARDEN HOLDINGS COMPANY LIMITED                            ,                                 2007                            
376,"                                238,272,000                            ",                                4.77%                            ,                                PHOENIX SATELLITE TELEVISION HOLDINGS LIMITED                            ,                                 2008                            
377,"                                228,367,500                            ",                                9.75%                            ,                                BBMG CORPORATION                            ,                                 2009                            
378,"                                328,000                            ",                                0.00%                            ,"                                CHINA ZHESHANG BANK CO., LTD.                            ",                                 2016                            
379,"                                41,204,160                            ",                                3.36%                            ,                                AAC TECHNOLOGIES HOLDINGS INC.                            ,                                 2018                            
380,"                                49,627,500                            ",                                1.84%                            ,                                ANTA SPORTS PRODUCTS LIMITED                            ,                                 2020                            
381,"                                39,222,000                            ",                                0.48%                            ,                                FIH MOBILE LIMITED                            ,                                 2038                            
382,"                                16,043,500                            ",                                0.93%                            ,"                                CHINA INTERNATIONAL MARINE CONTAINERS (GROUP) CO., LTD.                            ",                                 2039                            
383,"                                1,655,000                            ",                                0.10%                            ,"                                SHENGJING BANK CO., LTD.                            ",                                 2066                            
384,"                                233,788,000                            ",                                2.01%                            ,                                ZALL GROUP LTD.                            ,                                 2098                            
385,"                                2,736,000                            ",                                0.26%                            ,                                BEST PACIFIC INTERNATIONAL HOLDINGS LIMITED                            ,                                 2111                            
386,"                                32,874,000                            ",                                1.05%                            ,                                CHINA LESSO GROUP HOLDINGS LIMITED                            ,                                 2128                            
387,"                                493,500                            ",                                0.03%                            ,                                LIFESTYLE CHINA GROUP LIMITED                            ,                                 2136                            
388,"                                432,585,500                            ",                                13.01%                            ,                                LUYE PHARMA GROUP LTD.                            ,                                 2186                            
389,"                                71,343,649                            ",                                14.73%                            ,"                                SHANGHAI FOSUN PHARMACEUTICAL (GROUP) CO., LTD.                            ",                                 2196                            
390,"                                7,656,000                            ",                                0.62%                            ,                                REGINA MIRACLE INTERNATIONAL (HOLDINGS) LIMITED                            ,                                 2199                            
391,"                                81,111,433                            ",                                6.16%                            ,"                                CHINA VANKE CO., LTD.                            ",                                 2202                            
392,"                                162,970,220                            ",                                25.06%                            ,"                                XINJIANG GOLDWIND SCIENCE & TECHNOLOGY CO., LTD.                            ",                                 2208                            
393,"                                17,916,000                            ",                                0.33%                            ,                                WEST CHINA CEMENT LIMITED                            ,                                 2233                            
394,"                                491,287,449                            ",                                22.19%                            ,"                                GUANGZHOU AUTOMOBILE GROUP CO., LTD.                            ",                                 2238                            
395,"                                19,585,000                            ",                                0.48%                            ,                                HAICHANG OCEAN PARK HOLDINGS LTD.                            ,                                 2255                            
396,"                                1,706,500                            ",                                0.14%                            ,                                WUXI BIOLOGICS (CAYMAN) INC.                            ,                                 2269                            
397,"                                9,570,000                            ",                                0.95%                            ,"                                HC INTERNATIONAL, INC.                            ",                                 2280                            
398,"                                29,582,733                            ",                                0.77%                            ,                                MGM CHINA HOLDINGS LIMITED                            ,                                 2282                            
399,"                                39,027,000                            ",                                1.81%                            ,                                COSMO LADY (CHINA) HOLDINGS COMPANY LIMITED                            ,                                 2298                            
400,"                                28,499,554                            ",                                1.88%                            ,                                SHENZHOU INTERNATIONAL GROUP HOLDINGS LIMITED                            ,                                 2313                            
401,"                                45,214,000                            ",                                0.99%                            ,                                LEE & MAN PAPER MANUFACTURING LIMITED                            ,                                 2314                            
402,"                                176,013,904                            ",                                2.35%                            ,"                                PING AN INSURANCE (GROUP) COMPANY OF CHINA, LTD.                            ",                                 2318                            
403,"                                65,665,294                            ",                                1.66%                            ,                                CHINA MENGNIU DAIRY COMPANY LIMITED                            ,                                 2319                            
404,"                                67,580,000                            ",                                0.31%                            ,                                BEP INTERNATIONAL HOLDINGS LIMITED                            ,                                 2326                            
405,"                                346,658,787                            ",                                7.53%                            ,                                PICC PROPERTY AND CASUALTY COMPANY LIMITED                            ,                                 2328                            
406,"                                137,140,000                            ",                                3.07%                            ,                                GUORUI PROPERTIES LIMITED                            ,                                 2329                            
407,"                                12,805,000                            ",                                0.58%                            ,                                LI NING COMPANY LIMITED                            ,                                 2331                            
408,"                                817,170,880                            ",                                26.36%                            ,                                GREAT WALL MOTOR COMPANY LIMITED                            ,                                 2333                            
409,"                                8,658,482                            ",                                0.44%                            ,"                                WEICHAI POWER CO., LTD.                            ",                                 2338                            
410,"                                37,994,000                            ",                                0.86%                            ,                                PACIFIC BASIN SHIPPING LIMITED                            ,                                 2343                            
411,"                                996,800                            ",                                0.06%                            ,                                DAH SING BANKING GROUP LIMITED                            ,                                 2356                            
412,"                                177,021,000                            ",                                7.50%                            ,                                AVICHINA INDUSTRY & TECHNOLOGY COMPANY LIMITED                            ,                                 2357                            
413,"                                107,916,000                            ",                                2.14%                            ,                                COOLPAD GROUP LIMITED                            ,                                 2369                            
414,"                                540,779,000                            ",                                7.34%                            ,                                CHINA POWER INTERNATIONAL DEVELOPMENT LIMITED                            ,                                 2380                            
415,"                                42,678,291                            ",                                3.88%                            ,                                SUNNY OPTICAL TECHNOLOGY (GROUP) COMPANY LIMITED                            ,                                 2382                            
416,"                                14,691,000                            ",                                1.00%                            ,"                                SINOPEC ENGINEERING (GROUP) CO., LTD.                            ",                                 2386                            
417,"                                25,390,500                            ",                                0.23%                            ,                                BOC HONG KONG (HOLDINGS) LIMITED                            ,                                 2388                            
418,"                                20,831,100                            ",                                2.99%                            ,                                BOC AVIATION LIMITED                            ,                                 2588                            
419,"                                288,396,000                            ",                                7.30%                            ,                                ALUMINUM CORPORATION OF CHINA LIMITED                            ,                                 2600                            
420,"                                221,459,564                            ",                                7.97%                            ,                                CHINA PACIFIC INSURANCE (GROUP) CO. LTD.                            ,                                 2601                            
421,"                                77,346,192                            ",                                10.09%                            ,"                                SHANGHAI PHARMACEUTICALS HOLDING CO., LTD.                            ",                                 2607                            
422,"                                38,840,000                            ",                                3.23%                            ,"                                GUOTAI JUNAN SECURITIES CO., LTD.                            ",                                 2611                            
423,"                                132,781,408                            ",                                1.77%                            ,                                CHINA LIFE INSURANCE COMPANY LIMITED                            ,                                 2628                            
424,"                                179,978,000                            ",                                10.48%                            ,                                UNIVERSAL MEDICAL FINANCIAL & TECHNICAL ADVISORY SERVICES COMPANY LIMITED                            ,                                 2666                            
425,"                                38,031                            ",                                0.00%                            ,                                CHINA OVERSEAS PROPERTY HOLDINGS LIMITED                            ,                                 2669                            
426,"                                6,111,000                            ",                                0.66%                            ,                                TEXHONG TEXTILE GROUP LIMITED                            ,                                 2678                            
427,"                                2,532,985                            ",                                0.23%                            ,                                ENN ENERGY HOLDINGS LIMITED                            ,                                 2688                            
428,"                                84,956,671                            ",                                1.81%                            ,                                NINE DRAGONS PAPER (HOLDINGS) LIMITED                            ,                                 2689                            
429,"                                626,569,000                            ",                                21.06%                            ,                                SHANGHAI ELECTRIC GROUP COMPANY LIMITED                            ,                                 2727                            
430,"                                10,348,000                            ",                                0.46%                            ,                                JIAYUAN INTERNATIONAL GROUP LIMITED                            ,                                 2768                            
431,"                                62,745,800                            ",                                6.17%                            ,"                                GUANGZHOU R&F; PROPERTIES CO., LTD.                            ",                                 2777                            
432,"                                371,013,000                            ",                                1.47%                            ,"                                CHINA HUARONG ASSET MANAGEMENT CO., LTD.                            ",                                 2799                            
433,"                                498,670,000                            ",                                13.29%                            ,"                                COSCO SHIPPING DEVELOPMENT CO., LTD.                            ",                                 2866                            
434,"                                221,930,000                            ",                                7.98%                            ,                                GREENTOWN SERVICE GROUP CO. LTD.                            ,                                 2869                            
435,"                                29,995,000                            ",                                3.61%                            ,                                CHINA SHINEWAY PHARMACEUTICAL GROUP LIMITED                            ,                                 2877                            
436,"                                1,137,810,000                            ",                                22.05%                            ,                                DALIAN PORT (PDA) COMPANY LIMITED                            ,                                 2880                            
437,"                                155,811,699                            ",                                8.59%                            ,                                CHINA OILFIELD SERVICES LIMITED                            ,                                 2883                            
438,"                                776,900                            ",                                0.02%                            ,                                STANDARD CHARTERED PLC                            ,                                 2888                            
439,"                                1,193,970,000                            ",                                20.81%                            ,"                                ZIJIN MINING GROUP CO., LTD.                            ",                                 2899                            
440,"                                16,412,500                            ",                                1.21%                            ,                                RONSHINE CHINA HOLDINGS LIMITED                            ,                                 3301                            
441,"                                123,566,000                            ",                                7.37%                            ,                                GOLDEN EAGLE RETAIL GROUP LIMITED                            ,                                 3308                            
442,"                                19,863,305                            ",                                0.39%                            ,                                CHINA STATE CONSTRUCTION INTERNATIONAL HOLDINGS LIMITED                            ,                                 3311                            
443,"                                87,698,500                            ",                                1.39%                            ,                                CHINA RESOURCES PHARMACEUTICAL GROUP LIMITED                            ,                                 3320                            
444,"                                324,169,988                            ",                                11.25%                            ,                                CHINA NATIONAL BUILDING MATERIAL COMPANY LIMITED                            ,                                 3323                            
445,"                                743,918,724                            ",                                2.12%                            ,"                                BANK OF COMMUNICATIONS CO., LTD.                            ",                                 3328                            
446,"                                653,000                            ",                                0.02%                            ,                                BOCOM INTERNATIONAL HOLDINGS COMPANY LIMITED                            ,                                 3329                            
447,"                                1,061,000                            ",                                0.08%                            ,                                VINDA INTERNATIONAL HOLDINGS LIMITED                            ,                                 3331                            
448,"                                251,574,419                            ",                                1.90%                            ,                                CHINA EVERGRANDE GROUP                            ,                                 3333                            
449,"                                6,380,000                            ",                                0.14%                            ,                                LONKING HOLDINGS LIMITED                            ,                                 3339                            
450,"                                44,512,000                            ",                                1.11%                            ,                                FAR EAST HORIZON LIMITED                            ,                                 3360                            
451,"                                6,475,500                            ",                                0.24%                            ,                                PARKSON RETAIL GROUP LIMITED                            ,                                 3368                            
