,Shareholding in CCASS,Shares Percentage,Stock Name,Stock code
53,"                                23,696,000                            ",                                0.16%                            ,                                JOY CITY PROPERTY LIMITED                            ,                                  207                            
54,"                                74,094,000                            ",                                1.52%                            ,                                HUTCHISON TELECOMMUNICATIONS HONG KONG HOLDINGS LIMITED                            ,                                  215                            
55,"                                51,857,489                            ",                                1.19%                            ,                                UNI-PRESIDENT CHINA HOLDINGS LTD.                            ,                                  220                            
56,"                                262,286,000                            ",                                2.78%                            ,                                ALIBABA HEALTH INFORMATION TECHNOLOGY LIMITED                            ,                                  241                            
57,"                                239,768,000                            ",                                7.87%                            ,                                SHUN TAK HOLDINGS LIMITED                            ,                                  242                            
58,"                                48,040,000                            ",                                0.15%                            ,                                CHINA MINSHENG FINANCIAL HOLDING CORPORATION LIMITED                            ,                                  245                            
59,"                                244,396,000                            ",                                5.61%                            ,                                CITYCHAMP WATCH & JEWELLERY GROUP LIMITED                            ,                                  256                            
60,"                                133,829,827                            ",                                2.98%                            ,                                CHINA EVERBRIGHT INTERNATIONAL LIMITED                            ,                                  257                            
61,"                                26,900,533                            ",                                0.08%                            ,                                CITIC LIMITED                            ,                                  267                            
62,"                                216,287,205                            ",                                7.45%                            ,                                KINGDEE INTERNATIONAL SOFTWARE GROUP COMPANY LIMITED                            ,                                  268                            
63,"                                13,312,176                            ",                                0.20%                            ,                                GUANGDONG INVESTMENT LIMITED                            ,                                  270                            
64,"                                580,246,596                            ",                                7.19%                            ,                                SHUI ON LAND LIMITED                            ,                                  272                            
65,"                                113,780,000                            ",                                0.72%                            ,                                FREEMAN FINTECH CORPORATION LIMITED                            ,                                  279                            
66,"                                118,477,500                            ",                                5.25%                            ,                                BYD ELECTRONIC (INTERNATIONAL) COMPANY LIMITED                            ,                                  285                            
67,"                                123,137,000                            ",                                0.83%                            ,                                WH GROUP LIMITED                            ,                                  288                            
68,"                                96,725,333                            ",                                2.98%                            ,                                CHINA RESOURCES BEER (HOLDINGS) COMPANY LIMITED                            ,                                  291                            
69,"                                9,451,000                            ",                                0.23%                            ,                                CATHAY PACIFIC AIRWAYS LTD                            ,                                  293                            
70,"                                30,025,000                            ",                                0.20%                            ,                                KONG SUN HOLDINGS LIMITED                            ,                                  295                            
71,"                                369,994,000                            ",                                5.25%                            ,                                SINOFERT HOLDINGS LIMITED                            ,                                  297                            
