,Shareholding in CCASS,Shares Percentage,Stock Name,Stock code
189,"                                14,217,181                            ",                                0.25%                            ,"                                SOUTHWEST SECURITIES CO., LTD. (A #600369)                            ",                                90369                            
190,"                                2,166,183                            ",                                0.12%                            ,"                                CHINA AVIONICS SYSTEMS CO.,LTD. (A #600372)                            ",                                90372                            
191,"                                1,350,405                            ",                                0.10%                            ,"                                CHINESE UNIVERSE PUBLISHING AND MEDIA CO., LTD. (A #600373)                            ",                                90373                            
192,"                                310,207                            ",                                0.05%                            ,"                                HUALING XINGMA AUTOMOBILE(GROUP)CO.,LTD. (A #600375)                            ",                                90375                            
193,"                                5,939,811                            ",                                0.23%                            ,"                                BEIJING CAPITAL DEVELOPMENT,CO.,LTD (A #600376)                            ",                                90376                            
194,"                                77,525,882                            ",                                2.04%                            ,                                JIANGSU EXPRESSWAY COMPANY LIMITED (A #600377)                            ,                                90377                            
195,"                                3,581                            ",                                0.00%                            ,"                                SICHUAN TIANYI SCIENCE & TECHNOLOGY CO.,LTD. (A #600378)                            ",                                90378                            
196,"                                4,347,624                            ",                                0.27%                            ,"                                JOINCARE PHARMACEUTICAL GROUP INDUSTRY CO.,LTD. (A #600380)                            ",                                90380                            
197,"                                26,600                            ",                                0.01%                            ,"                                QINGHAI SPRING MEDICINAL RESOURCES TECHNOLOGY CO.,LTD (A #600381)                            ",                                90381                            
198,"                                32,300                            ",                                0.00%                            ,"                                GUANGDONG MINGZHU GROUP CO.,LTD. (A #600382)                            ",                                90382                            
199,"                                11,702,376                            ",                                0.25%                            ,                                GEMDALE CORPORATION (A #600383)                            ,                                90383                            
200,"                                655,152                            ",                                0.16%                            ,"                                BEIJING BASHI MEDIA CO,.LTD (A #600386)                            ",                                90386                            
201,"                                1,133,665                            ",                                0.29%                            ,"                                ZHEJIANG HAIYUE CO.,LTD (A #600387)                            ",                                90387                            
202,"                                2,883,101                            ",                                0.26%                            ,"                                FUJIAN LONGKING CO.,LTD (A #600388)                            ",                                90388                            
203,"                                49,900                            ",                                0.01%                            ,"                                NANTONG JIANGSHAN AGROCHEMICAL & CHEMICALS CO., LTD. (A #600389)                            ",                                90389                            
204,"                                719,017                            ",                                0.21%                            ,"                                AECC AERO SCIENCE & TECHNOLOGY CO.,LTD. (A #600391)                            ",                                90391                            
205,"                                1,206,118                            ",                                0.07%                            ,"                                GUIZHOU PANJIANG REFINED COAL CO.,LTD. (A #600395)                            ",                                90395                            
206,"                                255,483                            ",                                0.02%                            ,"                                SHENYANG JINSHAN ENERGY CO., LTD (A #600396)                            ",                                90396                            
207,"                                2,638,182                            ",                                0.26%                            ,"                                ANYUAN COAL INDUSTRY GROUP CO., LTD. (A #600397)                            ",                                90397                            
208,"                                20,176,364                            ",                                0.44%                            ,"                                HEILAN HOME CO.,LTD (A #600398)                            ",                                90398                            
209,"                                1,283,040                            ",                                0.11%                            ,"                                FUSHUN SPECIAL STEEL CO.,LTD (A #600399)                            ",                                90399                            
210,"                                2,117,392                            ",                                0.17%                            ,"                                JIANGSU HONGDOU INDUSTRY CO.,LTD. (A #600400)                            ",                                90400                            
211,"                                86,559                            ",                                0.00%                            ,"                                HENAN DAYOU ENERGY CO., LTD (A #600403)                            ",                                90403                            
212,"                                281,291                            ",                                0.05%                            ,"                                BEIJING DYNAMIC POWER CO., LTD (A #600405)                            ",                                90405                            
213,"                                28,703,635                            ",                                1.30%                            ,"                                NARI TECHNOLOGY CO., LTD. (A #600406)                            ",                                90406                            
214,"                                17,274,912                            ",                                0.93%                            ,"                                TANGSHAN SANYOU CHEMICAL INDUSTRIES CO.,LTD (A #600409)                            ",                                90409                            
215,"                                6,658,099                            ",                                0.74%                            ,"                                BEIJING TEAMSUN TECHNOLOGY CO.,LTD (A #600410)                            ",                                90410                            
216,"                                8,192,078                            ",                                0.15%                            ,"                                ZHEJIANG CHINA COMMODITIES CITY GROUP CO.,LTD. (A #600415)                            ",                                90415                            
217,"                                3,089,833                            ",                                0.43%                            ,"                                XIANGTAN ELECTRIC MANUFACTURING CO., LTD. (A #600416)                            ",                                90416                            
218,"                                3,681,312                            ",                                0.36%                            ,"                                ANHUI JIANGHUAI AUTOMOBILE GROUP CORP., LTD(A #600418)                            ",                                90418                            
219,"                                1,518,799                            ",                                0.26%                            ,"                                SHANGHAI SHYNDEC PHARMACEUTICAL CO., LTD. (A #600420)                            ",                                90420                            
220,"                                2,246,280                            ",                                0.32%                            ,"                                KPC PHARMACEUTICALS, INC. (A #600422)                            ",                                90422                            
221,"                                251,287                            ",                                0.01%                            ,                                XINJIANG QINGSONG BUILDING MATERIALS AND CHEMICALS (GROUP) CO LTD (A #600425)                            ,                                90425                            
222,"                                4,960,194                            ",                                0.30%                            ,"                                SHANDONG HUALU-HENGSHENG CHEMICAL CO., LTD (A #600426)                            ",                                90426                            
223,"                                1,558,823                            ",                                0.09%                            ,"                                COSCO SHIPPING SPECIALIZED CARRIERS CO., LTD.(A #600428)                            ",                                90428                            
224,"                                335,001                            ",                                0.04%                            ,"                                JILIN JIEN NICKEL INDUSTRY CO., LTD (A #600432)                            ",                                90432                            
225,"                                492,633                            ",                                0.04%                            ,"                                GUANGDONG GUANHAO HIGH-TECH CO., LTD (A #600433)                            ",                                90433                            
226,"                                4,625,452                            ",                                0.31%                            ,"                                NORTH NAVIGATION CONTROL TECHNOLOGY CO., LTD. (A #600435)                            ",                                90435                            
227,"                                1,834,164                            ",                                0.30%                            ,"                                ZHANGZHOU PIENTZEHUANG PHARMACEUTICAL CO.,LTD. (A #600436)                            ",                                90436                            
228,"                                5,530,787                            ",                                0.24%                            ,"                                TONGWEI CO.,LTD (A #600438)                            ",                                90438                            
229,"                                2,976,587                            ",                                0.26%                            ,"                                HENAN REBECCA HAIR PRODUCTS CO., LTD (A #600439)                            ",                                90439                            
230,"                                2,837,248                            ",                                0.35%                            ,"                                SHENZHEN KINGDOM TECHNOLOGY CO.,LTD (A #600446)                            ",                                90446                            
231,"                                653,439                            ",                                0.13%                            ,"                                NINGXIA BUILDING MATERIALS GROUP CO.,LTD (A #600449)                            ",                                90449                            
232,"                                811,025                            ",                                0.12%                            ,"                                ZHUZHOU TIMES NEW MATERIALS TECHNOLOGY CO.,LTD. (A #600458)                            ",                                90458                            
233,"                                449,078                            ",                                0.17%                            ,"                                SINO-PLATINUM METALS CO.,LTD (A #600459)                            ",                                90459                            
234,"                                6,154,792                            ",                                0.49%                            ,"                                HANGZHOU SILAN MICROELECTRONICS CO.,LTD. (A #600460)                            ",                                90460                            
235,"                                7,100,158                            ",                                0.80%                            ,"                                SICHUAN LANGUANG DEVELOPMENT CO., LTD. (A #600466)                            ",                                90466                            
236,"                                162,000                            ",                                0.01%                            ,"                                SHANDONG HOMEY AQUATIC DEVELOPMENT CO.,LTD. (A #600467)                            ",                                90467                            
237,"                                811,698                            ",                                0.10%                            ,"                                TIANJIN BENEFO TEJING ELECTRIC CO.,LTD. (A #600468)                            ",                                90468                            
238,                                300                            ,                                0.00%                            ,"                                AEOLUS TYRE CO.,LTD (A #600469)                            ",                                90469                            
239,                                900                            ,                                0.00%                            ,"                                ANHUI LIUGUO CHEMICAL CO.,LTD. (A #600470)                            ",                                90470                            
240,"                                3,557,517                            ",                                0.28%                            ,"                                HANGXIAO STEEL STRUCTURE CO.,LTD (A #600477)                            ",                                90477                            
241,"                                100,042                            ",                                0.00%                            ,"                                HUNAN CORUN NEW ENERGY CO.,LTD. (A #600478)                            ",                                90478                            
242,"                                742,253                            ",                                0.24%                            ,"                                ZHUZHOU QIANJIN PHARMACEUTICAL CO., LTD. (A #600479)                            ",                                90479                            
243,"                                438,822                            ",                                0.12%                            ,                                LINGYUN INDUSTRIAL CORPORATION LIMITED (A #600480)                            ,                                90480                            
244,"                                5,931,866                            ",                                0.36%                            ,"                                SHUANGLIANG ECO-ENERGY SYSTEMS CO.,LTD (A #600481)                            ",                                90481                            
245,"                                19,485,176                            ",                                2.14%                            ,"                                CHINA SHIPBUILDING INDUSTRY GROUP POWER CO., LTD. (A #600482)                            ",                                90482                            
246,"                                800,741                            ",                                0.27%                            ,"                                FUJIAN FUNENG CO., LTD (A #600483)                            ",                                90483                            
247,"                                3,298,294                            ",                                0.20%                            ,"                                BEIJING XINWEI TECHNOLOGY GROUP CO., LTD. (A #600485)                            ",                                90485                            
248,"                                1,598,786                            ",                                0.51%                            ,"                                JIANGSU YANGNONG CHEMICAL CO.,LTD. (A #600486)                            ",                                90486                            
249,"                                9,488,772                            ",                                0.76%                            ,"                                HENGTONG OPTIC-ELECTRIC CO.,LTD. (A #600487)                            ",                                90487                            
250,"                                988,330                            ",                                0.10%                            ,"                                TIANJIN TIANYAO PHARMACEUTICAL CO., LTD. (A #600488)                            ",                                90488                            
251,"                                6,656,913                            ",                                0.19%                            ,                                ZHONGJIN GOLD CORPORATION LIMITED (A #600489)                            ,                                90489                            
252,"                                1,538,677                            ",                                0.10%                            ,"                                PENGXIN INTERNATIONAL MINING CO.,LTD (A #600490)                            ",                                90490                            
253,"                                3,479,284                            ",                                0.36%                            ,"                                LONG YUAN CONSTRUCTION GUOUP CO.,LTD (A #600491)                            ",                                90491                            
254,"                                1,624,434                            ",                                0.13%                            ,                                JINXI AXLE COMPANY LIMITED (A #600495)                            ,                                90495                            
255,"                                4,723,672                            ",                                0.31%                            ,"                                CHANGJIANG & JINGGONG STEEL BUILDING (GROUP) CO.,LTD (A #600496)                            ",                                90496                            
256,"                                18,330,163                            ",                                0.42%                            ,"                                YUNNAN CHIHONG ZINC&GERMANIUM; CO.,LTD. (A #600497)                            ",                                90497                            
257,"                                8,614,017                            ",                                0.85%                            ,"                                FIBERHOME TELECOMMUNICATION TECHNOLOGIES CO.,LTD. (A #600498)                            ",                                90498                            
258,"                                2,805,788                            ",                                0.19%                            ,"                                KEDA CLEAN ENERGY CO., LTD. (A #600499)                            ",                                90499                            
259,"                                4,099,591                            ",                                0.23%                            ,                                SINOCHEM INTERNATIONAL CORPORATION (A #600500)                            ,                                90500                            
260,"                                739,466                            ",                                0.18%                            ,                                AEROSUN CORPORATION (A #600501)                            ,                                90501                            
261,"                                786,278                            ",                                0.10%                            ,"                                ANHUI WATER RESOURCES DEVELOPMENT CO.,LTD. (A #600502)                            ",                                90502                            
262,"                                4,033,899                            ",                                0.25%                            ,"                                DELUXE FAMILY CO., LTD. (A #600503)                            ",                                90503                            
263,"                                3,407,438                            ",                                0.25%                            ,"                                FANGDA SPECIAL STEEL TECHNOLOGY CO., LTD (A #600507)                            ",                                90507                            
264,                                100                            ,                                0.00%                            ,"                                SHANGHAI DATUN ENERGY RESOURSES CO.,LTD. (A #600508)                            ",                                90508                            
265,"                                1,970,260                            ",                                0.21%                            ,"                                XINJIANG TIANFU ENERGY CO.,LTD (A #600509)                            ",                                90509                            
266,"                                1,041,088                            ",                                0.13%                            ,"                                BLACK PEONY (GROUP) CO., LTD. (A #600510)                            ",                                90510                            
267,"                                1,988,611                            ",                                0.71%                            ,                                CHINA NATIONAL MEDICINES CORPORATION LTD. (A #600511)                            ,                                90511                            
268,"                                363,361                            ",                                0.12%                            ,"                                JIANGSU LIANHUAN PHARMACEUTICAL CO., LTD. (A #600513)                            ",                                90513                            
269,"                                6,369,681                            ",                                0.37%                            ,"                                FANGDA CARBON NEW MATERIAL CO.,LTD (A #600516)                            ",                                90516                            
270,"                                2,215,673                            ",                                0.17%                            ,"                                SHANGHAI ZHIXIN ELECTRIC CO.,LTD (A #600517)                            ",                                90517                            
271,"                                12,620,084                            ",                                0.28%                            ,"                                KANGMEI PHARMACEUTICAL CO., LTD (A #600518)                            ",                                90518                            
272,"                                76,128,312                            ",                                6.06%                            ,"                                KWEICHOW MOUTAI CO.,LTD. (A #600519)                            ",                                90519                            
273,"                                2,552,944                            ",                                0.24%                            ,"                                ZHEJIANG HUAHAI PHARMACEUTICAL CO.,LTD. (A #600521)                            ",                                90521                            
274,"                                7,327,930                            ",                                0.32%                            ,"                                JIANGSU ZHONGTIAN TECHNOLOGY CO.,LTD. (A #600522)                            ",                                90522                            
275,"                                106,800                            ",                                0.03%                            ,"                                GUIZHOU GUIHANG AOTOMOTIVE COMPONENTS CO., LTD (A #600523)                            ",                                90523                            
276,"                                2,155,866                            ",                                0.17%                            ,                                CHANGYUAN GROUP LTD. (A #600525)                            ,                                90525                            
277,"                                1,194,425                            ",                                0.29%                            ,"                                ZHEJIANG FEIDA ENVIRONMENTAL SCIENCE &TECHNOLOGY; CO.,LTD. (A #600526)                            ",                                90526                            
278,"                                3,218,271                            ",                                0.40%                            ,"                                JIANGSU JIANGNAN HIGH POLYMER FIBER CO.,LTD (A #600527)                            ",                                90527                            
279,"                                1,321,737                            ",                                0.09%                            ,                                CHINA RAILWAY HI-TECH INDUSTRY CORPORATION LIMITED (A #600528)                            ,                                90528                            
280,"                                158,305                            ",                                0.01%                            ,                                HENAN YUGUANG GOLD&LEAD; CO.LTD (A #600531)                            ,                                90531                            
281,"                                63,011                            ",                                0.01%                            ,"                                SHANGHAI HONGDA MINING CO.,LTD (A #600532)                            ",                                90532                            
282,"                                31,816,321                            ",                                3.08%                            ,"                                TASLY PHARMACEUTICA GROUP CO., LTD. (A #600535)                            ",                                90535                            
283,"                                885,257                            ",                                0.17%                            ,                                CHINA NATIONAL SOFTWARE & SERVICE COMPANY LIMITED (A #600536)                            ,                                90536                            
284,"                                1,598,703                            ",                                0.13%                            ,"                                EGING PHOTOVOLTAIC TECHNOLOGY CO., LTD. (A #600537)                            ",                                90537                            
285,"                                372,087                            ",                                0.05%                            ,                                XINJIANG URBAN CONSTRUCTION (GROUP) CO LTD (A #600545)                            ,                                90545                            
286,"                                240,799                            ",                                0.01%                            ,"                                SHANXI COAL INTERNATIONAL ENERGY GROUP CO.,LTD (A #600546)                            ",                                90546                            
287,"                                4,328,198                            ",                                0.30%                            ,"                                SHANDONG GOLD MINING CO.,LTD. (A #600547)                            ",                                90547                            
288,"                                4,016,455                            ",                                0.28%                            ,"                                SHENZHEN EXPRESSWAY CO., LTD. (A #600548)                            ",                                90548                            
289,"                                3,667,055                            ",                                0.41%                            ,                                XIAMEN TUNGSTEN CORP. (A #600549)                            ,                                90549                            
290,"                                447,586                            ",                                0.08%                            ,"                                TIME PUBLISHING & MEDIA CO., LTD. (A #600551)                            ",                                90551                            
291,"                                3,195,030                            ",                                0.43%                            ,"                                TRIUMPH SCIENCE & TECHNOLOGY CO., LTD (A #600552)                            ",                                90552                            
292,"                                1,915,080                            ",                                0.43%                            ,"                                JIANGSU KANION PHARMACEUTICAL CO.,LTD. (A #600557)                            ",                                90557                            
293,"                                12,910,582                            ",                                3.68%                            ,"                                HEBEI HENGSHUI LAOBAIGAN LIQUOR CO.,LTD. (A #600559)                            ",                                90559                            
294,"                                19,900                            ",                                0.00%                            ,"                                JIANGXI CHANGYUN CO., LTD. (A #600561)                            ",                                90561                            
295,"                                1,379,271                            ",                                0.42%                            ,"                                GLARUN TECHNOLOGY CO.,LTD. (A #600562)                            ",                                90562                            
296,"                                429,461                            ",                                0.19%                            ,"                                XIAMEN FARATRONIC CO.,LTD. (A #600563)                            ",                                90563                            
297,"                                3,892,007                            ",                                0.16%                            ,"                                CHONGQING DIMA INDUSTRY CO.,LTD (A #600565)                            ",                                90565                            
298,"                                4,442,101                            ",                                0.54%                            ,"                                HUBEI JUMPCAN PHARMACEUTICAL CO., LTD. (A #600566)                            ",                                90566                            
299,"                                29,326,537                            ",                                0.64%                            ,"                                ANHUI SHANYING PAPER INDUSTRY CO.,LTD (A #600567)                            ",                                90567                            
300,"                                1,201,208                            ",                                0.21%                            ,"                                ZHONGZHU HEALTHCARE HOLDING CO., LTD (A #600568)                            ",                                90568                            
301,"                                3,851,466                            ",                                0.62%                            ,                                HUNDSUN TECHNOLOGIES INC. (A #600570)                            ,                                90570                            
302,"                                1,294,881                            ",                                0.30%                            ,"                                SUNYARD SYSTEM ENGINEERING CO.,LTD. (A #600571)                            ",                                90571                            
303,"                                4,771,961                            ",                                0.23%                            ,"                                ZHEJIANG CONBA PHARMACEUTICAL CO.,LTD. (A #600572)                            ",                                90572                            
304,"                                891,966                            ",                                0.06%                            ,"                                TONGLING JINGDA SPECIAL MAGNET WIRE CO.,LTD. (A #600577)                            ",                                90577                            
305,"                                6,240,695                            ",                                0.13%                            ,"                                BEIJING JINGNENG POWER CO.,LTD. (A #600578)                            ",                                90578                            
306,"                                1,727,496                            ",                                0.15%                            ,"                                WOLONG ELECTRIC GROUP CO.,LTD. (A #600580)                            ",                                90580                            
307,"                                5,264,070                            ",                                0.18%                            ,"                                TIANDI SCIENCE & TECHNOLOGY CO.,LTD (A #600582)                            ",                                90582                            
308,"                                8,337,259                            ",                                0.18%                            ,"                                OFFSHORE OIL ENGINEERING CO., LTD. (A #600583)                            ",                                90583                            
309,"                                26,857,665                            ",                                2.72%                            ,"                                JIANGSU CHANGJIANG ELECTRONICS TECHNOLOGY CO., LTD. (A #600584)                            ",                                90584                            
310,"                                166,142,721                            ",                                4.15%                            ,                                ANHUI CONCH CEMENT COMPANY LIMITED (A #600585)                            ,                                90585                            
311,"                                4,841,819                            ",                                0.33%                            ,"                                SHANDONG JINJING SCIENCE & TECHNOLOGY CO.,LTD (A #600586)                            ",                                90586                            
312,"                                1,807,106                            ",                                0.44%                            ,"                                SHINVA MEDICAL INSTRUMENT CO, LTD (A #600587)                            ",                                90587                            
313,"                                5,509,179                            ",                                0.37%                            ,"                                YONYOU NETWORK TECHNOLOGY CO., LTD. (A #600588)                            ",                                90588                            
314,                                101                            ,                                0.00%                            ,"                                GUANGDONG RONGTAI INDUSTRY CO.,LTD (A #600589)                            ",                                90589                            
315,"                                1,821,467                            ",                                0.23%                            ,"                                GUIZHOU YIBAI PHARMACEUTICAL CO., LTD. (A #600594)                            ",                                90594                            
316,"                                1,469,322                            ",                                0.21%                            ,"                                ZHEJIANG XINAN CHEMICAL INDUSTRIAL GROUP CO.,LTD (A #600596)                            ",                                90596                            
317,"                                4,018,914                            ",                                0.32%                            ,"                                BRIGHT DAIRY & FOOD CO.,LTD (A #600597)                            ",                                90597                            
318,"                                11,121,463                            ",                                1.59%                            ,                                TSINGTAO BREWERY COMPANY LIMITED (A #600600)                            ,                                90600                            
319,"                                2,352,023                            ",                                0.10%                            ,"                                FOUNDER TECHNOLOGY GROUP CO., LTD. (A #600601)                            ",                                90601                            
320,"                                15,252                            ",                                0.00%                            ,"                                SHANGHAI SHIBEI HI-TECH CO.,LTD. (A #600604)                            ",                                90604                            
321,"                                6,374,716                            ",                                0.19%                            ,                                GREENLAND HOLDINGS CORPORATION LIMITED (A #600606)                            ,                                90606                            
322,"                                2,749,263                            ",                                0.17%                            ,"                                DAZHONG TRANSPORTATION (GROUP) CO.,LTD. (A #600611)                            ",                                90611                            
323,"                                1,415,124                            ",                                0.44%                            ,"                                LAO FENG XIANG CO.,LTD. (A #600612)                            ",                                90612                            
324,"                                129,414                            ",                                0.02%                            ,                                SHANGHAI SHENQI PHARMACEUTICAL INVESTMENT MANAGEMENT CO.LTD.(A #600613)                            ,                                90613                            
325,"                                23,119,958                            ",                                1.96%                            ,"                                PENGQI TECHNOLOGY DEVELOPMENT CO., LTD (A #600614)                            ",                                90614                            
326,"                                9,035                            ",                                0.00%                            ,                                SHANGHAI JINFENG WINE COMPANY LIMITED (A #600616)                            ,                                90616                            
327,"                                3,284,107                            ",                                0.36%                            ,                                SHANXI GUOXIN ENERGY CORPORATION LIMITED (A #600617)                            ,                                90617                            
328,"                                4,941                            ",                                0.00%                            ,"                                SHANGHAI CHLOR-ALKALI CHEMICAL CO.,LTD. (A #600618)                            ",                                90618                            
329,"                                6,945                            ",                                0.00%                            ,"                                SHANGHAI TIANCHEN CO.,LTD. (A #600620)                            ",                                90620                            
330,"                                1,845,761                            ",                                0.35%                            ,"                                SHANGHAI CHINAFORTUNE CO., LTD (A #600621)                            ",                                90621                            
