,Shareholding in CCASS,Shares Percentage,Stock Name,Stock code
0,"                                138,324,458                            ",                                0.49%                            ,"                                SHANGHAI PUDONG DEVELOPMENT BANK CO., LTD. (A #600000)                            ",                                90000                            
1,"                                66,271,862                            ",                                4.64%                            ,"                                GUANGZHOU BAIYUN INTERNATIONAL AIRPORT CO.,LTD. (A #600004)                            ",                                90004                            
2,"                                173,031                            ",                                0.00%                            ,"                                DONGFENG AUTOMOBILE CO.,LTD (A #600006)                            ",                                90006                            
3,"                                8,321,470                            ",                                0.82%                            ,                                CHINA WORLD TRADE CENTER COMPANY LTD. (A #600007)                            ,                                90007                            
4,"                                46,735,096                            ",                                0.96%                            ,"                                BEIJING CAPITAL CO.,LTD (A #600008)                            ",                                90008                            
5,"                                304,687,869                            ",                                27.86%                            ,"                                SHANGHAI INTERNATIONAL AIRPORT CO., LTD. (A #600009)                            ",                                90009                            
6,"                                40,237,544                            ",                                0.18%                            ,"                                INNER MONGOLIA BAOTOU STEEL UNION CO.,LTD. (A #600010)                            ",                                90010                            
7,"                                8,498,402                            ",                                0.08%                            ,"                                HUANENG POWER INTERNATIONAL, INC. (A #600011)                            ",                                90011                            
8,"                                2,023,270                            ",                                0.17%                            ,                                ANHUI EXPRESSWAY COMPANY LIMITED (A #600012)                            ,                                90012                            
9,"                                18,233,184                            ",                                0.14%                            ,"                                HUA XIA BANK CO., LIMITED (A #600015)                            ",                                90015                            
10,"                                168,462,535                            ",                                0.57%                            ,"                                CHINA MINSHENG BANKING CORP., LTD. (A #600016)                            ",                                90016                            
11,"                                39,086,498                            ",                                1.27%                            ,"                                RIZHAO PORT CO.,LTD. (A #600017)                            ",                                90017                            
12,"                                32,980,052                            ",                                0.14%                            ,"                                SHANGHAI INTERNATIONAL PORT (GROUP) CO., LTD (A #600018)                            ",                                90018                            
13,"                                239,656,374                            ",                                1.08%                            ,"                                BAOSHAN IRON & STEEL CO., LTD. (A #600019)                            ",                                90019                            
14,"                                13,756,432                            ",                                0.61%                            ,                                HENAN ZHONGYUAN EXPRESSWAY COMPANY LIMITED (A #600020)                            ,                                90020                            
15,"                                3,002,954                            ",                                0.14%                            ,                                SHANGHAI ELECTRIC POWER COMPANY LIMITED (A #600021)                            ,                                90021                            
16,"                                16,104,382                            ",                                0.11%                            ,"                                ZHEJIANG ZHENENG ELECTRIC POWER CO.,LTD (A #600023)                            ",                                90023                            
17,"                                2,332,180                            ",                                0.08%                            ,"                                COSCO SHIPPING ENERGY TRANSPORTATION CO., LTD. (A #600026)                            ",                                90026                            
18,"                                5,945,720                            ",                                0.08%                            ,                                HUADIAN POWER INTERNATIONAL CORPORATION LIMITED (A #600027)                            ,                                90027                            
19,"                                353,201,373                            ",                                0.36%                            ,                                CHINA PETROLEUM AND CHEMICAL CORPORATION (A #600028)                            ,                                90028                            
20,"                                19,704,223                            ",                                0.28%                            ,                                CHINA SOUTHERN AIRLINES COMPANY LIMITED (A #600029)                            ,                                90029                            
21,"                                141,366,553                            ",                                1.44%                            ,                                CITIC SECURITIES COMPANY LIMITED (A #600030)                            ,                                90030                            
22,"                                209,434,836                            ",                                2.75%                            ,"                                SANY HEAVY INDUSTRY CO.,LTD (A #600031)                            ",                                90031                            
23,"                                7,236,458                            ",                                0.26%                            ,                                FUJIAN EXPRESSWAY DEVELOPMENT COMPANY LIMITED (A #600033)                            ,                                90033                            
24,"                                268,768,824                            ",                                1.30%                            ,"                                CHINA MERCHANTS BANK CO.,LIMITED (A #600036)                            ",                                90036                            
25,"                                4,333,620                            ",                                0.37%                            ,"                                BEIJING GEHUA CATV NETWORK CO., LTD. (A #600037)                            ",                                90037                            
