,Shareholding in CCASS,Shares Percentage,Stock Name,Stock code
172,"                                551,531                            ",                                0.06%                            ,"                                TIBET TIANLU CO., LTD. (A #600326)                            ",                                90326                            
173,"                                1,725,929                            ",                                0.33%                            ,"                                WUXI COMMERCIAL MANSION GRAND ORIENT CO.,LTD (A #600327)                            ",                                90327                            
174,"                                4,397,162                            ",                                0.77%                            ,                                TIANJIN ZHONGXIN PHARMACEUTICAL GROUP CORPORATION LIMITED (A #600329)                            ,                                90329                            
175,"                                2,653,346                            ",                                0.24%                            ,                                GUANGZHOU BAIYUNSHAN PHARMACEUTICAL HOLDINGS COMPANY LIMITED (A #600332)                            ,                                90332                            
176,"                                6,000                            ",                                0.00%                            ,"                                CHANGCHUN GAS CO.,LTD (A #600333)                            ",                                90333                            
177,"                                798,306                            ",                                0.09%                            ,"                                SINOMACH AUTOMOBILE CO., LTD. (A #600335)                            ",                                90335                            
178,"                                2,375,605                            ",                                0.16%                            ,"                                MARKOR INTERNATIONAL HOME FURNISHINGS CO., LTD. (A #600337)                            ",                                90337                            
179,"                                10,018,210                            ",                                0.33%                            ,"                                CHINA FORTUNE LAND DEVELOPMENT CO., LTD. (A #600340)                            ",                                90340                            
180,"                                1,666,158                            ",                                0.26%                            ,"                                SHAANXI AEROSPACE POWER HI-TECH CO.,LTD (A #600343)                            ",                                90343                            
181,"                                9,896,847                            ",                                0.41%                            ,"                                YANG QUAN COAL INDUSTRY (GROUP) CO., LTD. (A #600348)                            ",                                90348                            
182,"                                29,589,083                            ",                                0.61%                            ,                                SHANDONG HI-SPEED COMPANY LIMITED (A #600350)                            ,                                90350                            
183,"                                1,604,085                            ",                                0.23%                            ,"                                YABAO PHARMACEUTICAL GROUP CO., LTD. (A #600351)                            ",                                90351                            
184,"                                13,510,922                            ",                                0.44%                            ,"                                ZHEJIANG LONGSHENG GROUP CO.,LTD (A #600352)                            ",                                90352                            
185,"                                3,200                            ",                                0.00%                            ,"                                CHENGDU XUGUANG ELECTRONICS CO,.LTD (A #600353)                            ",                                90353                            
186,"                                3,632,670                            ",                                0.17%                            ,                                JIANGXI COPPER COMPANY LIMITED (A #600362)                            ,                                90362                            
187,"                                1,641,525                            ",                                0.37%                            ,"                                JIANXI LIANCHUANG OPTO-ELECTRONIC SCIENCE&TECHNOLOGY; CO.,LTD (A #600363)                            ",                                90363                            
188,"                                1,833,593                            ",                                0.34%                            ,"                                NINGBO YUNSHENG CO.,LTD. (A #600366)                            ",                                90366                            
189,"                                14,321,381                            ",                                0.25%                            ,"                                SOUTHWEST SECURITIES CO., LTD. (A #600369)                            ",                                90369                            
190,"                                2,149,583                            ",                                0.12%                            ,"                                CHINA AVIONICS SYSTEMS CO.,LTD. (A #600372)                            ",                                90372                            
191,"                                1,386,845                            ",                                0.10%                            ,"                                CHINESE UNIVERSE PUBLISHING AND MEDIA CO., LTD. (A #600373)                            ",                                90373                            
192,"                                310,207                            ",                                0.05%                            ,"                                HUALING XINGMA AUTOMOBILE(GROUP)CO.,LTD. (A #600375)                            ",                                90375                            
193,"                                5,957,611                            ",                                0.23%                            ,"                                BEIJING CAPITAL DEVELOPMENT,CO.,LTD (A #600376)                            ",                                90376                            
194,"                                76,188,982                            ",                                2.00%                            ,                                JIANGSU EXPRESSWAY COMPANY LIMITED (A #600377)                            ,                                90377                            
195,"                                3,581                            ",                                0.00%                            ,"                                SICHUAN TIANYI SCIENCE & TECHNOLOGY CO.,LTD. (A #600378)                            ",                                90378                            
196,"                                4,327,324                            ",                                0.27%                            ,"                                JOINCARE PHARMACEUTICAL GROUP INDUSTRY CO.,LTD. (A #600380)                            ",                                90380                            
197,"                                26,600                            ",                                0.01%                            ,"                                QINGHAI SPRING MEDICINAL RESOURCES TECHNOLOGY CO.,LTD (A #600381)                            ",                                90381                            
198,"                                32,300                            ",                                0.00%                            ,"                                GUANGDONG MINGZHU GROUP CO.,LTD. (A #600382)                            ",                                90382                            
199,"                                11,401,947                            ",                                0.25%                            ,                                GEMDALE CORPORATION (A #600383)                            ,                                90383                            
200,"                                654,552                            ",                                0.16%                            ,"                                BEIJING BASHI MEDIA CO,.LTD (A #600386)                            ",                                90386                            
201,"                                1,152,965                            ",                                0.29%                            ,"                                ZHEJIANG HAIYUE CO.,LTD (A #600387)                            ",                                90387                            
202,"                                4,320,453                            ",                                0.40%                            ,"                                FUJIAN LONGKING CO.,LTD (A #600388)                            ",                                90388                            
203,"                                49,900                            ",                                0.01%                            ,"                                NANTONG JIANGSHAN AGROCHEMICAL & CHEMICALS CO., LTD. (A #600389)                            ",                                90389                            
204,"                                735,917                            ",                                0.22%                            ,"                                AECC AERO SCIENCE & TECHNOLOGY CO.,LTD. (A #600391)                            ",                                90391                            
205,"                                1,142,018                            ",                                0.06%                            ,"                                GUIZHOU PANJIANG REFINED COAL CO.,LTD. (A #600395)                            ",                                90395                            
206,"                                255,483                            ",                                0.02%                            ,"                                SHENYANG JINSHAN ENERGY CO., LTD (A #600396)                            ",                                90396                            
207,"                                2,638,182                            ",                                0.26%                            ,"                                ANYUAN COAL INDUSTRY GROUP CO., LTD. (A #600397)                            ",                                90397                            
208,"                                20,046,236                            ",                                0.44%                            ,"                                HEILAN HOME CO.,LTD (A #600398)                            ",                                90398                            
209,"                                1,283,040                            ",                                0.11%                            ,"                                FUSHUN SPECIAL STEEL CO.,LTD (A #600399)                            ",                                90399                            
210,"                                2,117,792                            ",                                0.17%                            ,"                                JIANGSU HONGDOU INDUSTRY CO.,LTD. (A #600400)                            ",                                90400                            
211,"                                86,559                            ",                                0.00%                            ,"                                HENAN DAYOU ENERGY CO., LTD (A #600403)                            ",                                90403                            
212,"                                377,491                            ",                                0.06%                            ,"                                BEIJING DYNAMIC POWER CO., LTD (A #600405)                            ",                                90405                            
213,"                                28,748,109                            ",                                1.30%                            ,"                                NARI TECHNOLOGY CO., LTD. (A #600406)                            ",                                90406                            
214,"                                18,084,891                            ",                                0.97%                            ,"                                TANGSHAN SANYOU CHEMICAL INDUSTRIES CO.,LTD (A #600409)                            ",                                90409                            
215,"                                6,654,499                            ",                                0.74%                            ,"                                BEIJING TEAMSUN TECHNOLOGY CO.,LTD (A #600410)                            ",                                90410                            
216,"                                8,269,478                            ",                                0.15%                            ,"                                ZHEJIANG CHINA COMMODITIES CITY GROUP CO.,LTD. (A #600415)                            ",                                90415                            
217,"                                2,915,333                            ",                                0.41%                            ,"                                XIANGTAN ELECTRIC MANUFACTURING CO., LTD. (A #600416)                            ",                                90416                            
218,"                                3,719,440                            ",                                0.36%                            ,"                                ANHUI JIANGHUAI AUTOMOBILE GROUP CORP., LTD(A #600418)                            ",                                90418                            
219,"                                1,513,999                            ",                                0.26%                            ,"                                SHANGHAI SHYNDEC PHARMACEUTICAL CO., LTD. (A #600420)                            ",                                90420                            
220,"                                2,266,408                            ",                                0.33%                            ,"                                KPC PHARMACEUTICALS, INC. (A #600422)                            ",                                90422                            
221,"                                251,287                            ",                                0.01%                            ,                                XINJIANG QINGSONG BUILDING MATERIALS AND CHEMICALS (GROUP) CO LTD (A #600425)                            ,                                90425                            
222,"                                4,886,437                            ",                                0.30%                            ,"                                SHANDONG HUALU-HENGSHENG CHEMICAL CO., LTD (A #600426)                            ",                                90426                            
223,"                                1,536,123                            ",                                0.09%                            ,"                                COSCO SHIPPING SPECIALIZED CARRIERS CO., LTD.(A #600428)                            ",                                90428                            
224,"                                335,001                            ",                                0.04%                            ,"                                JILIN JIEN NICKEL INDUSTRY CO., LTD (A #600432)                            ",                                90432                            
225,"                                477,133                            ",                                0.04%                            ,"                                GUANGDONG GUANHAO HIGH-TECH CO., LTD (A #600433)                            ",                                90433                            
226,"                                4,642,952                            ",                                0.31%                            ,"                                NORTH NAVIGATION CONTROL TECHNOLOGY CO., LTD. (A #600435)                            ",                                90435                            
227,"                                2,238,902                            ",                                0.37%                            ,"                                ZHANGZHOU PIENTZEHUANG PHARMACEUTICAL CO.,LTD. (A #600436)                            ",                                90436                            
228,"                                5,646,287                            ",                                0.24%                            ,"                                TONGWEI CO.,LTD (A #600438)                            ",                                90438                            
229,"                                2,979,087                            ",                                0.26%                            ,"                                HENAN REBECCA HAIR PRODUCTS CO., LTD (A #600439)                            ",                                90439                            
230,"                                2,936,848                            ",                                0.36%                            ,"                                SHENZHEN KINGDOM TECHNOLOGY CO.,LTD (A #600446)                            ",                                90446                            
231,"                                653,439                            ",                                0.13%                            ,"                                NINGXIA BUILDING MATERIALS GROUP CO.,LTD (A #600449)                            ",                                90449                            
232,"                                786,425                            ",                                0.11%                            ,"                                ZHUZHOU TIMES NEW MATERIALS TECHNOLOGY CO.,LTD. (A #600458)                            ",                                90458                            
233,"                                456,078                            ",                                0.17%                            ,"                                SINO-PLATINUM METALS CO.,LTD (A #600459)                            ",                                90459                            
234,"                                6,154,792                            ",                                0.49%                            ,"                                HANGZHOU SILAN MICROELECTRONICS CO.,LTD. (A #600460)                            ",                                90460                            
235,"                                5,942,877                            ",                                0.67%                            ,"                                SICHUAN LANGUANG DEVELOPMENT CO., LTD. (A #600466)                            ",                                90466                            
236,"                                162,000                            ",                                0.01%                            ,"                                SHANDONG HOMEY AQUATIC DEVELOPMENT CO.,LTD. (A #600467)                            ",                                90467                            
237,"                                811,698                            ",                                0.10%                            ,"                                TIANJIN BENEFO TEJING ELECTRIC CO.,LTD. (A #600468)                            ",                                90468                            
238,                                300                            ,                                0.00%                            ,"                                AEOLUS TYRE CO.,LTD (A #600469)                            ",                                90469                            
239,                                900                            ,                                0.00%                            ,"                                ANHUI LIUGUO CHEMICAL CO.,LTD. (A #600470)                            ",                                90470                            
240,"                                3,557,517                            ",                                0.28%                            ,"                                HANGXIAO STEEL STRUCTURE CO.,LTD (A #600477)                            ",                                90477                            
241,"                                100,042                            ",                                0.00%                            ,"                                HUNAN CORUN NEW ENERGY CO.,LTD. (A #600478)                            ",                                90478                            
242,"                                742,253                            ",                                0.24%                            ,"                                ZHUZHOU QIANJIN PHARMACEUTICAL CO., LTD. (A #600479)                            ",                                90479                            
243,"                                438,822                            ",                                0.12%                            ,                                LINGYUN INDUSTRIAL CORPORATION LIMITED (A #600480)                            ,                                90480                            
244,"                                5,859,626                            ",                                0.36%                            ,"                                SHUANGLIANG ECO-ENERGY SYSTEMS CO.,LTD (A #600481)                            ",                                90481                            
245,"                                19,549,872                            ",                                2.15%                            ,"                                CHINA SHIPBUILDING INDUSTRY GROUP POWER CO., LTD. (A #600482)                            ",                                90482                            
246,"                                787,441                            ",                                0.27%                            ,"                                FUJIAN FUNENG CO., LTD (A #600483)                            ",                                90483                            
247,"                                3,298,294                            ",                                0.20%                            ,"                                BEIJING XINWEI TECHNOLOGY GROUP CO., LTD. (A #600485)                            ",                                90485                            
248,"                                1,724,786                            ",                                0.55%                            ,"                                JIANGSU YANGNONG CHEMICAL CO.,LTD. (A #600486)                            ",                                90486                            
249,"                                9,406,455                            ",                                0.75%                            ,"                                HENGTONG OPTIC-ELECTRIC CO.,LTD. (A #600487)                            ",                                90487                            
250,"                                988,330                            ",                                0.10%                            ,"                                TIANJIN TIANYAO PHARMACEUTICAL CO., LTD. (A #600488)                            ",                                90488                            
251,"                                6,167,013                            ",                                0.17%                            ,                                ZHONGJIN GOLD CORPORATION LIMITED (A #600489)                            ,                                90489                            
252,"                                1,538,677                            ",                                0.10%                            ,"                                PENGXIN INTERNATIONAL MINING CO.,LTD (A #600490)                            ",                                90490                            
253,"                                3,545,084                            ",                                0.37%                            ,"                                LONG YUAN CONSTRUCTION GUOUP CO.,LTD (A #600491)                            ",                                90491                            
254,"                                1,327,734                            ",                                0.10%                            ,                                JINXI AXLE COMPANY LIMITED (A #600495)                            ,                                90495                            
255,"                                4,723,672                            ",                                0.31%                            ,"                                CHANGJIANG & JINGGONG STEEL BUILDING (GROUP) CO.,LTD (A #600496)                            ",                                90496                            
256,"                                17,411,663                            ",                                0.40%                            ,"                                YUNNAN CHIHONG ZINC&GERMANIUM; CO.,LTD. (A #600497)                            ",                                90497                            
257,"                                8,658,842                            ",                                0.85%                            ,"                                FIBERHOME TELECOMMUNICATION TECHNOLOGIES CO.,LTD. (A #600498)                            ",                                90498                            
258,"                                2,805,788                            ",                                0.19%                            ,"                                KEDA CLEAN ENERGY CO., LTD. (A #600499)                            ",                                90499                            
259,"                                3,851,286                            ",                                0.22%                            ,                                SINOCHEM INTERNATIONAL CORPORATION (A #600500)                            ,                                90500                            
260,"                                740,354                            ",                                0.18%                            ,                                AEROSUN CORPORATION (A #600501)                            ,                                90501                            
261,"                                739,278                            ",                                0.09%                            ,"                                ANHUI WATER RESOURCES DEVELOPMENT CO.,LTD. (A #600502)                            ",                                90502                            
262,"                                4,127,799                            ",                                0.26%                            ,"                                DELUXE FAMILY CO., LTD. (A #600503)                            ",                                90503                            
263,"                                3,063,984                            ",                                0.23%                            ,"                                FANGDA SPECIAL STEEL TECHNOLOGY CO., LTD (A #600507)                            ",                                90507                            
264,                                100                            ,                                0.00%                            ,"                                SHANGHAI DATUN ENERGY RESOURSES CO.,LTD. (A #600508)                            ",                                90508                            
265,"                                1,970,260                            ",                                0.21%                            ,"                                XINJIANG TIANFU ENERGY CO.,LTD (A #600509)                            ",                                90509                            
266,"                                1,041,088                            ",                                0.13%                            ,"                                BLACK PEONY (GROUP) CO., LTD. (A #600510)                            ",                                90510                            
267,"                                1,995,544                            ",                                0.71%                            ,                                CHINA NATIONAL MEDICINES CORPORATION LTD. (A #600511)                            ,                                90511                            
268,"                                363,361                            ",                                0.12%                            ,"                                JIANGSU LIANHUAN PHARMACEUTICAL CO., LTD. (A #600513)                            ",                                90513                            
269,"                                4,886,674                            ",                                0.28%                            ,"                                FANGDA CARBON NEW MATERIAL CO.,LTD (A #600516)                            ",                                90516                            
270,"                                2,327,449                            ",                                0.18%                            ,"                                SHANGHAI ZHIXIN ELECTRIC CO.,LTD (A #600517)                            ",                                90517                            
271,"                                14,258,684                            ",                                0.32%                            ,"                                KANGMEI PHARMACEUTICAL CO., LTD (A #600518)                            ",                                90518                            
272,"                                76,019,804                            ",                                6.05%                            ,"                                KWEICHOW MOUTAI CO.,LTD. (A #600519)                            ",                                90519                            
273,"                                2,585,710                            ",                                0.25%                            ,"                                ZHEJIANG HUAHAI PHARMACEUTICAL CO.,LTD. (A #600521)                            ",                                90521                            
274,"                                7,226,730                            ",                                0.31%                            ,"                                JIANGSU ZHONGTIAN TECHNOLOGY CO.,LTD. (A #600522)                            ",                                90522                            
275,"                                106,800                            ",                                0.03%                            ,"                                GUIZHOU GUIHANG AOTOMOTIVE COMPONENTS CO., LTD (A #600523)                            ",                                90523                            
276,"                                1,915,646                            ",                                0.15%                            ,                                CHANGYUAN GROUP LTD. (A #600525)                            ,                                90525                            
277,"                                1,160,864                            ",                                0.28%                            ,"                                ZHEJIANG FEIDA ENVIRONMENTAL SCIENCE &TECHNOLOGY; CO.,LTD. (A #600526)                            ",                                90526                            
278,"                                3,218,271                            ",                                0.40%                            ,"                                JIANGSU JIANGNAN HIGH POLYMER FIBER CO.,LTD (A #600527)                            ",                                90527                            
279,"                                1,284,236                            ",                                0.08%                            ,                                CHINA RAILWAY HI-TECH INDUSTRY CORPORATION LIMITED (A #600528)                            ,                                90528                            
280,"                                158,305                            ",                                0.01%                            ,                                HENAN YUGUANG GOLD&LEAD; CO.LTD (A #600531)                            ,                                90531                            
281,"                                63,011                            ",                                0.01%                            ,"                                SHANGHAI HONGDA MINING CO.,LTD (A #600532)                            ",                                90532                            
282,"                                32,102,955                            ",                                3.10%                            ,"                                TASLY PHARMACEUTICA GROUP CO., LTD. (A #600535)                            ",                                90535                            
283,"                                858,757                            ",                                0.17%                            ,                                CHINA NATIONAL SOFTWARE & SERVICE COMPANY LIMITED (A #600536)                            ,                                90536                            
284,"                                1,610,083                            ",                                0.13%                            ,"                                EGING PHOTOVOLTAIC TECHNOLOGY CO., LTD. (A #600537)                            ",                                90537                            
285,"                                372,087                            ",                                0.05%                            ,                                XINJIANG URBAN CONSTRUCTION (GROUP) CO LTD (A #600545)                            ,                                90545                            
286,"                                240,799                            ",                                0.01%                            ,"                                SHANXI COAL INTERNATIONAL ENERGY GROUP CO.,LTD (A #600546)                            ",                                90546                            
287,"                                4,355,816                            ",                                0.30%                            ,"                                SHANDONG GOLD MINING CO.,LTD. (A #600547)                            ",                                90547                            
288,"                                3,795,439                            ",                                0.26%                            ,"                                SHENZHEN EXPRESSWAY CO., LTD. (A #600548)                            ",                                90548                            
289,"                                3,361,755                            ",                                0.37%                            ,                                XIAMEN TUNGSTEN CORP. (A #600549)                            ,                                90549                            
290,"                                426,786                            ",                                0.08%                            ,"                                TIME PUBLISHING & MEDIA CO., LTD. (A #600551)                            ",                                90551                            
291,"                                3,195,030                            ",                                0.43%                            ,"                                TRIUMPH SCIENCE & TECHNOLOGY CO., LTD (A #600552)                            ",                                90552                            
292,"                                1,909,220                            ",                                0.43%                            ,"                                JIANGSU KANION PHARMACEUTICAL CO.,LTD. (A #600557)                            ",                                90557                            
293,"                                12,910,582                            ",                                3.68%                            ,"                                HEBEI HENGSHUI LAOBAIGAN LIQUOR CO.,LTD. (A #600559)                            ",                                90559                            
294,"                                19,900                            ",                                0.00%                            ,"                                JIANGXI CHANGYUN CO., LTD. (A #600561)                            ",                                90561                            
295,"                                1,302,871                            ",                                0.39%                            ,"                                GLARUN TECHNOLOGY CO.,LTD. (A #600562)                            ",                                90562                            
296,"                                444,561                            ",                                0.19%                            ,"                                XIAMEN FARATRONIC CO.,LTD. (A #600563)                            ",                                90563                            
297,"                                2,707,475                            ",                                0.11%                            ,"                                CHONGQING DIMA INDUSTRY CO.,LTD (A #600565)                            ",                                90565                            
298,"                                4,522,789                            ",                                0.55%                            ,"                                HUBEI JUMPCAN PHARMACEUTICAL CO., LTD. (A #600566)                            ",                                90566                            
299,"                                28,159,275                            ",                                0.61%                            ,"                                ANHUI SHANYING PAPER INDUSTRY CO.,LTD (A #600567)                            ",                                90567                            
300,"                                429,003                            ",                                0.07%                            ,"                                ZHONGZHU HEALTHCARE HOLDING CO., LTD (A #600568)                            ",                                90568                            
301,"                                3,883,016                            ",                                0.62%                            ,                                HUNDSUN TECHNOLOGIES INC. (A #600570)                            ,                                90570                            
302,"                                1,343,281                            ",                                0.31%                            ,"                                SUNYARD SYSTEM ENGINEERING CO.,LTD. (A #600571)                            ",                                90571                            
303,"                                4,776,161                            ",                                0.23%                            ,"                                ZHEJIANG CONBA PHARMACEUTICAL CO.,LTD. (A #600572)                            ",                                90572                            
304,"                                891,966                            ",                                0.06%                            ,"                                TONGLING JINGDA SPECIAL MAGNET WIRE CO.,LTD. (A #600577)                            ",                                90577                            
305,"                                6,200,995                            ",                                0.13%                            ,"                                BEIJING JINGNENG POWER CO.,LTD. (A #600578)                            ",                                90578                            
306,"                                1,769,996                            ",                                0.15%                            ,"                                WOLONG ELECTRIC GROUP CO.,LTD. (A #600580)                            ",                                90580                            
307,"                                6,130,670                            ",                                0.22%                            ,"                                TIANDI SCIENCE & TECHNOLOGY CO.,LTD (A #600582)                            ",                                90582                            
308,"                                8,357,036                            ",                                0.18%                            ,"                                OFFSHORE OIL ENGINEERING CO., LTD. (A #600583)                            ",                                90583                            
309,"                                26,901,365                            ",                                2.73%                            ,"                                JIANGSU CHANGJIANG ELECTRONICS TECHNOLOGY CO., LTD. (A #600584)                            ",                                90584                            
310,"                                171,945,536                            ",                                4.29%                            ,                                ANHUI CONCH CEMENT COMPANY LIMITED (A #600585)                            ,                                90585                            
311,"                                4,841,819                            ",                                0.33%                            ,"                                SHANDONG JINJING SCIENCE & TECHNOLOGY CO.,LTD (A #600586)                            ",                                90586                            
312,"                                1,813,906                            ",                                0.44%                            ,"                                SHINVA MEDICAL INSTRUMENT CO, LTD (A #600587)                            ",                                90587                            
313,"                                5,536,779                            ",                                0.37%                            ,"                                YONYOU NETWORK TECHNOLOGY CO., LTD. (A #600588)                            ",                                90588                            
